,,,"Parkdale--High Park [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Family characteristics","  3 or more children",,     380,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   29515,,   13820,,   15690,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,   50290,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,   26550,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   10805,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   15745,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,     425,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,   23315,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,   20205,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    3110,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  106985,,   51405,,   55580,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,   87250,,   43025,,   44230,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,      90,,      35,,      45,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,   17195,,    7380,,    9805,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,    2455,,     955,,    1495,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  106985,,   51405,,   55580,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,  101215,,   48920,,   52290,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    2345,,    1095,,    1255,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,     995,,     445,,     545,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,    2435,,     945,,    1485,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    2840,,    1315,,    1530,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    2.7,,    2.6,,    2.8,,    4.1,,    4.0,,    4.3,
"Mother tongue","      English",,   69265,,   34280,,   34985,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    2180,,    1025,,    1155,,  490715,,  231310,,  259410,
"Mother tongue","      Aboriginal languages",,      20,,      10,,      10,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,      15,,      10,,       5,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       5,,       5,,       5,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       5,,       5,,       0,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       5,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,      10,,       5,,       5,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,      10,,       5,,       0,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       5,,       0,,       0,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       5,,       0,,       0,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       5,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,   32485,,   14690,,   17795,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,    1770,,     915,,     850,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,      10,,       5,,       0,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       5,,       5,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       5,,       5,,       5,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,     195,,      85,,     110,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,      30,,      15,,      10,,    1445,,     720,,     730,
"Mother tongue","            Somali",,     155,,      60,,      90,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,      10,,      10,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,    1560,,     820,,     735,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,     355,,     160,,     195,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,     600,,     350,,     250,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,       5,,       5,,       0,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,      20,,      10,,       5,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,      60,,      40,,      20,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,     335,,     170,,     165,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,     180,,      90,,      90,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,       5,,       5,,       5,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      10,,       5,,       5,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,     980,,     440,,     535,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,      15,,      10,,       5,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,     960,,     430,,     530,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,    1635,,     585,,    1050,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       0,,       0,,       0,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,      75,,      35,,      45,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       5,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,      25,,       5,,      15,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,      80,,      30,,      50,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       5,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,      40,,      15,,      20,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      10,,       0,,       5,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    1380,,     485,,     895,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       5,,       0,,       5,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,      10,,       5,,       5,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,      45,,      15,,      35,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,      15,,       5,,      15,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,      30,,      10,,      20,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,     600,,     295,,     305,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,      20,,      10,,      10,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,      55,,      30,,      30,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,     440,,     210,,     225,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,      85,,      50,,      40,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,   20355,,    9185,,   11165,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,     140,,      65,,      80,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,      50,,      20,,      35,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,   10630,,    4545,,    6085,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,     710,,     265,,     445,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,     240,,      95,,     145,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,     470,,     170,,     300,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,    9920,,    4280,,    5640,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,      15,,      10,,      10,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,      70,,      30,,      40,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,     155,,      70,,      85,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,     500,,     230,,     270,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     275,,     140,,     135,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,      75,,      35,,      40,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    3605,,    1495,,    2110,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,    1635,,     685,,     950,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,    1125,,     555,,     570,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,     130,,      50,,      80,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,     190,,      80,,     110,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,     130,,      50,,      75,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,    1980,,     840,,    1145,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,      35,,      15,,      20,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      10,,       0,,      10,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       5,,       0,,       0,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       5,,       0,,       0,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       5,,       0,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    1425,,     650,,     775,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,      15,,      10,,      10,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      50,,      10,,      35,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     180,,      90,,      95,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,       5,,       0,,       0,,    1240,,     630,,     620,
"Mother tongue","            German",,    1070,,     485,,     590,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       5,,       5,,       5,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,      15,,      10,,      10,,     940,,     405,,     540,
"Mother tongue","            Swedish",,      50,,      20,,      25,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      15,,      10,,      10,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,      15,,      10,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       0,,       5,,     170,,      80,,      85,
"Mother tongue","          Greek",,     655,,     305,,     345,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,    1760,,     895,,     865,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,    1215,,     630,,     585,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,     235,,     120,,     115,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,     155,,      85,,      75,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,     290,,     165,,     125,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,      15,,       5,,      10,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,      55,,      30,,      30,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,      80,,      45,,      35,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,      10,,       5,,       5,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,     115,,      50,,      65,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,      15,,       5,,       5,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,      40,,      20,,      20,,   10165,,    4925,,    5235,
"Mother tongue","              Urdu",,     205,,     110,,     100,,  152385,,   76795,,   75595,
"Mother tongue","            Iranian languages",,     535,,     255,,     275,,  139675,,   70270,,   69405,
"Mother tongue","              Kurdish",,      15,,      10,,       5,,    6665,,    3615,,    3050,
"Mother tongue","              Pashto",,      15,,       5,,       5,,   10950,,    5630,,    5315,
"Mother tongue","              Persian (Farsi)",,     510,,     245,,     265,,  122070,,   61025,,   61040,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,      10,,      10,,       5,,    2565,,    1350,,    1215,
"Mother tongue","          Italic (Romance) languages",,    5690,,    2710,,    2985,,  614525,,  295030,,  319490,
"Mother tongue","            Catalan",,      15,,      15,,       5,,     285,,     150,,     135,
"Mother tongue","            Italian",,    1010,,     500,,     500,,  231040,,  112440,,  118600,
