,,,"Canada [Country]",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Household and dwelling characteristics","    Row house",,  891305,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,  784300,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",, 2539390,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,   36005,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,  189755,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,14072080,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",, 3969790,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",, 4834605,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",, 2140640,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",, 1946275,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",, 1180770,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,34460060,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.4,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,29312160,,14271280,,15040885,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,16893720,, 8452135,, 8441585,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,13383455,, 6693465,, 6689990,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",, 3510265,, 1758670,, 1751590,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,12418440,, 5819140,, 6599300,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",, 8254340,, 4444425,, 3809915,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,  718295,,  309905,,  408400,,  328675,,  138140,,  190535,
"Marital status","    Divorced",, 1816005,,  725535,, 1090470,,  653835,,  252900,,  400935,
"Marital status","    Widowed",, 1629800,,  339280,, 1290525,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10, 9840730,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",, 5007790,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",, 2107830,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",, 1909935,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,  815170,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11, 9840730,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",, 8227925,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",, 6474005,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",, 1753920,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",, 1612805,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",, 1262340,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,  350465,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",, 8227925,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",, 4024305,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",, 4203615,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",, 1650165,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",, 1783080,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,  770375,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",, 1612805,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,  983485,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,  457670,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,  171655,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",, 6107260,, 2941395,, 3165865,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,14072075,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",, 9218225,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13, 3782095,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14, 5436135,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,  301715,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",, 4552135,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",, 3969790,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,  582350,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,34767255,,17101170,,17666080,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,23757525,,11838075,,11919455,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",, 4144685,, 1925845,, 2218840,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",, 6216065,, 3071325,, 3144740,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,  648970,,  265920,,  383045,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,34767250,,17101165,,17666085,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,26007500,,12852330,,13155165,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",, 7705755,, 3780105,, 3925650,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,  417485,,  209130,,  208355,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,  636515,,  259600,,  376910,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17, 7914495,, 3884670,, 4029825,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,   22.8,,   22.7,,   22.8,,    4.1,,    4.0,,    4.3,
"Mother tongue","      English",,19460850,, 9680125,, 9780725,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",, 7166705,, 3521495,, 3645215,,  490715,,  231310,,  259410,
"Mother tongue","      Aboriginal languages",,  195700,,   94795,,  100900,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,  130450,,   62930,,   67520,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,    2815,,    1325,,    1490,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,   88445,,   42920,,   45530,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,    6150,,    3135,,    3015,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,   10230,,    4885,,    5350,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,     100,,      50,,      55,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,    1205,,     590,,     620,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,     315,,     125,,     190,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,    3065,,    1360,,    1710,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,      45,,      20,,      25,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,    1440,,     585,,     850,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,    1840,,     865,,     975,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,   64050,,   31305,,   32745,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,    6990,,    3310,,    3680,,      90,,      40,,      50,
"Mother tongue","            Malecite",,     305,,     140,,     160,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,    6690,,    3170,,    3520,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,   32150,,   15350,,   16800,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,    1260,,     590,,     670,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,   17890,,    8440,,    9450,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,   12855,,    6260,,    6595,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,     150,,      65,,      85,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,      45,,      25,,      20,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,   17365,,    8325,,    9045,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,   17315,,    8310,,    9010,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,     110,,      55,,      60,,       0,,       0,,       0,
"Mother tongue","            Beaver",,     190,,      85,,     105,,       0,,       0,,       0,
"Mother tongue","            Carrier",,    1025,,     465,,     565,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,     660,,     295,,     360,,       5,,       0,,       5,
"Mother tongue","            Dene",,   10700,,    5185,,    5515,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,    1645,,     840,,     815,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,     260,,     110,,     145,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,      80,,      25,,      50,,      10,,       0,,       5,
"Mother tongue","            Sekani",,      90,,      45,,      45,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,    1995,,     950,,    1045,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,     765,,     365,,     400,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,     945,,     455,,     495,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,     280,,     130,,     150,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,     270,,     135,,     140,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,     180,,      90,,      90,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,      95,,      40,,      50,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,     290,,     120,,     170,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,     215,,      90,,     135,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,      70,,      30,,      40,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,      50,,      20,,      35,,       5,,       0,,       5,
"Mother tongue","        Haida",,      75,,      35,,      40,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,   36545,,   18100,,   18445,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,    1025,,     445,,     575,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,   35215,,   17530,,   17680,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,     315,,     125,,     185,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,    1115,,     485,,     635,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,      45,,      20,,      20,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,     980,,     430,,     555,,     590,,     255,,     335,
"Mother tongue","          Oneida",,      55,,      20,,      40,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,      35,,      15,,      20,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,     105,,      55,,      55,,       0,,       0,,       0,
"Mother tongue","        Michif",,     465,,     230,,     235,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,    2305,,    1130,,    1180,,       5,,       0,,       5,
"Mother tongue","          Comox",,      80,,      45,,      40,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,     475,,     225,,     245,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,     315,,     155,,     155,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,     270,,     135,,     135,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,     445,,     225,,     220,,       5,,       0,,       0,
"Mother tongue","          Squamish",,      40,,      20,,      20,,       0,,       0,,       0,
"Mother tongue","          Straits",,      80,,      40,,      40,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,     335,,     150,,     185,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,     255,,     135,,     125,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,    4285,,    2070,,    2220,,      10,,       5,,       5,
"Mother tongue","          Dakota",,    1215,,     570,,     635,,       5,,       5,,       5,
"Mother tongue","          Stoney",,    3025,,    1465,,    1555,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,      55,,      30,,      25,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,      95,,      40,,      55,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,    1480,,     730,,     755,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,     880,,     435,,     445,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,     400,,     200,,     200,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,     200,,      90,,     110,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,     805,,     370,,     435,,       0,,       0,,       5,
"Mother tongue","          Haisla",,      90,,      40,,      50,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,      95,,      40,,      55,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,     325,,     145,,     185,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,     285,,     135,,     140,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,      10,,       5,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,     585,,     295,,     295,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",, 7125365,, 3406425,, 3718945,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,  575365,,  298060,,  277300,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,   22135,,   11865,,   10270,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,   13150,,    6995,,    6155,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,    8985,,    4865,,    4115,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,   42885,,   20095,,   22790,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,     805,,     455,,     350,,     250,,     140,,     110,
"Mother tongue","            Oromo",,    4960,,    2560,,    2400,,    1445,,     720,,     730,
"Mother tongue","            Somali",,   36755,,   16895,,   19865,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,     365,,     195,,     170,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,  509190,,  265465,,  243725,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,   22465,,   10720,,   11745,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,  419890,,  220785,,  199105,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,   16070,,    7910,,    8160,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,    5545,,    2780,,    2770,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,    1320,,     635,,     685,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,   19530,,   10480,,    9045,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,    5565,,    2765,,    2800,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,   16650,,    8310,,    8340,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,    2155,,    1085,,    1070,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,    1155,,     635,,     520,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,  176725,,   81810,,   94920,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,   20130,,    9270,,   10860,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,  156425,,   72470,,   83955,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,     170,,      65,,     100,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,  511480,,  211580,,  299900,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,    1790,,     790,,    1000,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,   19890,,    7930,,   11960,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,     745,,     400,,     345,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,    6885,,    2680,,    4205,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,   26345,,   10620,,   15720,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,    1430,,     665,,     760,,     100,,      45,,      55,
"Mother tongue","          Malay",,   12275,,    5255,,    7020,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,    4040,,    1865,,    2175,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,    1390,,     590,,     800,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,  431380,,  178575,,  252810,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,    1110,,     430,,     675,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,    4195,,    1770,,    2425,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,   72125,,   32310,,   39820,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,    3030,,    1445,,    1590,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,   64105,,   28455,,   35660,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,    4985,,    2410,,    2575,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,  189405,,   94765,,   94640,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,    3970,,    2040,,    1935,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,   28570,,   14770,,   13800,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,  140720,,   69080,,   71640,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,   15655,,    8640,,    7020,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,     490,,     240,,     250,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,     795,,     395,,     405,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",, 3877330,, 1889400,, 1987930,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,   26890,,   13610,,   13285,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,   33455,,   16270,,   17185,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,  701975,,  323640,,  378340,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,   12530,,    5315,,    7215,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,    5455,,    2350,,    3105,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,    7075,,    2965,,    4115,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,  689450,,  318325,,  371115,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,     810,,     385,,     430,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,   12210,,    6035,,    6180,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,   20025,,    9675,,   10345,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,   48200,,   23540,,   24665,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,   22290,,   10525,,   11765,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,   16775,,    8050,,    8725,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,  181710,,   82435,,   99275,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,  188255,,   85400,,  102855,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,   57350,,   28535,,   28815,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,    9555,,    4565,,    4985,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,   17580,,    8075,,    9510,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,    9790,,    4415,,    5370,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,  102485,,   45440,,   57040,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,    2415,,    1255,,    1165,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,    2690,,    1335,,    1360,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,    1090,,     540,,     550,,     450,,     210,,     240,
"Mother tongue","            Welsh",,    1075,,     495,,     575,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,     530,,     295,,     235,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,  538765,,  258410,,  280350,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,   10265,,    5115,,    5145,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,   12630,,    6245,,    6390,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,   99020,,   48200,,   50820,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,    2100,,    1095,,    1005,,    1240,,     630,,     620,
"Mother tongue","            German",,  384035,,  183215,,  200820,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,    1285,,     600,,     685,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,    4615,,    2170,,    2445,,     940,,     405,,     540,
"Mother tongue","            Swedish",,    6840,,    3015,,    3825,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,    3895,,    1730,,    2165,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,   13555,,    6750,,    6800,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,     525,,     280,,     240,,     170,,      80,,      85,
"Mother tongue","          Greek",,  106525,,   53350,,   53170,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",, 1312750,,  664120,,  648630,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",, 1064760,,  538530,,  526235,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,   73125,,   37410,,   35720,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,  108780,,   55105,,   53670,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,  110640,,   55880,,   54765,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,     565,,     300,,     265,,     345,,     170,,     175,
"Mother tongue","              Konkani",,    3330,,    1625,,    1710,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,    8295,,    4300,,    3995,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,   18275,,    9230,,    9045,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,    1055,,     560,,     495,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,  501680,,  253515,,  248160,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,   11860,,    5605,,    6260,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,   16335,,    8050,,    8285,,   10165,,    4925,,    5235,
